run_id,run_type,lr,batch_size,dropout,optimizer,epochs,train_loss,val_loss,accuracy,f1,defects,dpmo,training_time_sec,model_path
baseline_1772373139,baseline,0.001,16,0.5,Adam,10,0.139287797,0.432301968,0.852564103,0.893271462,92,147435.8974,1396.863897,D:\LEAN PROJ\models\baseline\baseline_1772373139.pt
doe_1772377858_0.001_16_0.3_Adam,doe,0.001,16,0.3,Adam,4,0.151088659,0.25539881,0.870192308,0.90459364,81,129807.6923,480.168144,D:\LEAN PROJ\models\doe\doe_1772377858_0.001_16_0.3_Adam.pt
doe_1772378354_0.001_16_0.3_RMSprop,doe,0.001,16,0.3,RMSprop,4,0.154667366,0.574667931,0.849358974,0.891705069,94,150641.0256,480.2758484,D:\LEAN PROJ\models\doe\doe_1772378354_0.001_16_0.3_RMSprop.pt
doe_1772378851_0.001_16_0.5_Adam,doe,0.001,16,0.5,Adam,4,0.151505429,0.762605548,0.772435897,0.845652174,142,227564.1026,545.7369883,D:\LEAN PROJ\models\doe\doe_1772378851_0.001_16_0.5_Adam.pt
doe_1772379412_0.001_16_0.5_RMSprop,doe,0.001,16,0.5,RMSprop,4,0.166605827,0.464889616,0.860576923,0.898719441,87,139423.0769,529.4110019,D:\LEAN PROJ\models\doe\doe_1772379412_0.001_16_0.5_RMSprop.pt
doe_1772379957_0.001_32_0.3_Adam,doe,0.001,32,0.3,Adam,4,0.129372137,0.688019156,0.809294872,0.867039106,119,190705.1282,521.2689192,D:\LEAN PROJ\models\doe\doe_1772379957_0.001_32_0.3_Adam.pt
doe_1772380507_0.001_32_0.3_RMSprop,doe,0.001,32,0.3,RMSprop,4,0.147015437,0.437537193,0.870192308,0.905041032,81,129807.6923,771.5300283,D:\LEAN PROJ\models\doe\doe_1772380507_0.001_32_0.3_RMSprop.pt
doe_1772381293_0.001_32_0.5_Adam,doe,0.001,32,0.5,Adam,4,0.136672021,0.593948543,0.818910256,0.872890889,113,181089.7436,286.0249033,D:\LEAN PROJ\models\doe\doe_1772381293_0.001_32_0.5_Adam.pt
doe_1772381586_0.001_32_0.5_RMSprop,doe,0.001,32,0.5,RMSprop,4,0.160720548,0.40282926,0.862179487,0.89953271,86,137820.5128,231.4005117,D:\LEAN PROJ\models\doe\doe_1772381586_0.001_32_0.5_RMSprop.pt
doe_1772381824_0.0001_16_0.3_Adam,doe,0.0001,16,0.3,Adam,4,0.165344082,0.74133569,0.804487179,0.864142539,122,195512.8205,268.8438179,D:\LEAN PROJ\models\doe\doe_1772381824_0.0001_16_0.3_Adam.pt
doe_1772382100_0.0001_16_0.3_RMSprop,doe,0.0001,16,0.3,RMSprop,4,0.164534492,0.665463686,0.815705128,0.87064117,115,184294.8718,270.7184808,D:\LEAN PROJ\models\doe\doe_1772382100_0.0001_16_0.3_RMSprop.pt
doe_1772382379_0.0001_16_0.5_Adam,doe,0.0001,16,0.5,Adam,4,0.178327696,0.651287317,0.820512821,0.873873874,112,179487.1795,269.6928546,D:\LEAN PROJ\models\doe\doe_1772382379_0.0001_16_0.5_Adam.pt
doe_1772382655_0.0001_16_0.5_RMSprop,doe,0.0001,16,0.5,RMSprop,4,0.17670538,0.553336203,0.828525641,0.878547106,107,171474.359,264.4899123,D:\LEAN PROJ\models\doe\doe_1772382655_0.0001_16_0.5_RMSprop.pt
doe_1772382928_0.0001_32_0.3_Adam,doe,0.0001,32,0.3,Adam,4,0.157271659,0.495760322,0.830128205,0.879271071,106,169871.7949,228.4188757,D:\LEAN PROJ\models\doe\doe_1772382928_0.0001_32_0.3_Adam.pt
doe_1772383163_0.0001_32_0.3_RMSprop,doe,0.0001,32,0.3,RMSprop,4,0.159718414,0.720058858,0.799679487,0.861265261,125,200320.5128,230.2380223,D:\LEAN PROJ\models\doe\doe_1772383163_0.0001_32_0.3_RMSprop.pt
doe_1772383402_0.0001_32_0.5_Adam,doe,0.0001,32,0.5,Adam,4,0.170760805,0.634717166,0.809294872,0.867039106,119,190705.1282,229.2379899,D:\LEAN PROJ\models\doe\doe_1772383402_0.0001_32_0.5_Adam.pt
doe_1772383638_0.0001_32_0.5_RMSprop,doe,0.0001,32,0.5,RMSprop,4,0.171116195,0.602487803,0.815705128,0.870931538,115,184294.8718,320.0828106,D:\LEAN PROJ\models\doe\doe_1772383638_0.0001_32_0.5_RMSprop.pt
improve_1772386473,improve,0.001,16,0.3,RMSprop,20,0.010374518628983831,0.7776727080345154,0.7516025641025641,0.8342245989304813,155,248397.4358974359,1494.5949258804321,d:\LEAN PROJ\models\best\improve_1772386473.pt
improve_1772388162,improve,0.001,16,0.3,RMSprop,9,0.017805528990383058,0.005601139273494482,0.8076923076923077,0.8654708520179372,120,192307.6923076923,901.7345998287201,d:\LEAN PROJ\models\best\improve_1772388162.pt
focused_1772426416_0.001_0,focused_doe,0.001,16,0.3,RMSprop,10,0.014975207179369338,0.22335608303546906,0.7932692307692307,0.8571428571428571,129,206730.76923076922,788.7111024856567,D:\LEAN PROJ\models\focused\focused_1772426416_0.001_0.pt
focused_1772427218_0.001_0.0001,focused_doe,0.001,16,0.3,RMSprop,10,0.020361813720434833,0.6908553838729858,0.7435897435897436,0.8297872340425532,160,256410.25641025638,686.4067304134369,D:\LEAN PROJ\models\focused\focused_1772427218_0.001_0.0001.pt
focused_1772427912_0.0005_0,focused_doe,0.0005,16,0.3,RMSprop,10,0.0111302273822321,0.016815906390547752,0.842948717948718,0.8878718535469108,98,157051.28205128206,696.421144247055,D:\LEAN PROJ\models\focused\focused_1772427912_0.0005_0.pt
focused_1772428616_0.0005_0.0001,focused_doe,0.0005,16,0.3,RMSprop,10,0.01445635702338295,0.6510447859764099,0.8141025641025641,0.8693693693693694,116,185897.4358974359,686.1357607841492,D:\LEAN PROJ\models\focused\focused_1772428616_0.0005_0.0001.pt
focused_1772429310_0.0001_0,focused_doe,0.0001,16,0.3,RMSprop,10,0.010233994423868386,0.7049175500869751,0.8157051282051282,0.8703494926719278,115,184294.8717948718,699.7201750278473,D:\LEAN PROJ\models\focused\focused_1772429310_0.0001_0.pt
focused_1772430017_0.0001_0.0001,focused_doe,0.0001,16,0.3,RMSprop,10,0.011469158517834916,0.30258235335350037,0.8605769230769231,0.899188876013905,87,139423.07692307694,803.6365485191345,D:\LEAN PROJ\models\focused\focused_1772430017_0.0001_0.0001.pt
final_1772431147,final_model,0.0001,16,0.3,RMSprop,8,0.017414869939600564,0.29185613989830017,0.8669871794871795,0.9029239766081871,83,133012.8205128205,548.7562499046326,D:\LEAN PROJ\models\best\final_1772431147.pt
